structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Entorhinal area, lateral part, layer 3",0.0,0.0,0.0,0.7066279999999999,0.702581,1.409209,0.0,0.0
medial forebrain bundle,0.0,0.0,0.0,0.0300709999999999,0.030139,0.06021,0.0,0.0
Nucleus accumbens,0.0,0.0,0.0,2.565863,2.592199,5.158061999999999,0.0,0.0
Medial terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.026964,0.026794,0.053758,0.0,0.0
Intermediodorsal nucleus of the thalamus,0.0,0.0,0.0,0.1018999999999999,0.1192469999999999,0.2211469999999999,0.0,0.0
medial longitudinal fascicle,0.0,0.0,0.0,0.066384,0.0663919999999999,0.132776,0.0,0.0
"Paraventricular hypothalamic nucleus, descending division",0.0,0.0,0.0,0.076329,0.0749679999999999,0.151297,0.0,0.0
Anterodorsal nucleus,0.0,0.0,0.0,0.083642,0.090866,0.174508,0.0,0.0
Lateral terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.0119519999999999,0.01117,0.0231219999999999,0.0,0.0
Interstitial nucleus of Cajal,0.0,0.0,0.0,0.0431159999999999,0.049294,0.0924099999999999,0.0,0.0
"Frontal pole, layer 1",0.0,0.0,0.0,0.114505,0.09804,0.2125449999999999,0.0,0.0
Anterodorsal preoptic nucleus,0.0,0.0,0.0,0.0583949999999999,0.053841,0.112236,0.0,0.0
Dorsal terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.0068829999999999,0.007029,0.0139119999999999,0.0,0.0
middle cerebellar peduncle,0.0,0.0,0.0,0.4194839999999999,0.5012989999999999,0.920783,0.0,0.0
lateral ventricle,0.0,0.0,0.0,0.834274,0.903801,1.7380749999999998,0.0,0.0
Inferior olivary complex,0.0,0.0,0.0,0.157602,0.171906,0.329508,0.0,0.0
"Prelimbic area, layer 6a",0.0,0.0,0.0,0.237676,0.264088,0.501764,0.0,0.0
Anterior hypothalamic nucleus,0.0,0.0,0.0,0.423103,0.3968,0.819903,0.0,0.0
Interposed nucleus,0.0,0.0,0.0,0.4855799999999999,0.491174,0.976754,0.0,0.0
motor root of the trigeminal nerve,0.0,0.0,0.0,0.019972,0.024539,0.0445109999999999,0.0,0.0
Dorsal cochlear nucleus,0.0,0.0,0.0,0.3339169999999999,0.3303319999999999,0.6642489999999999,0.0,0.0
"Temporal association areas, layer 1",0.0,0.0,0.0,0.242365,0.193937,0.4363019999999999,0.0,0.0
subependymal zone,0.0,0.0,0.0,0.0505689999999999,0.050261,0.10083,0.0,0.0
Interpeduncular nucleus,0.0,0.0,0.0,0.006865,0.0078199999999999,0.0146849999999999,0.0,0.0
Ventral cochlear nucleus,0.0,0.0,0.0,0.474889,0.4978479999999999,0.972737,0.0,0.0
nigrostriatal tract,0.0,0.0,0.0,0.0742169999999999,0.067879,0.142096,0.0,0.0
"Superior olivary complex, medial part",0.0,0.0,0.0,0.1187869999999999,0.118834,0.2376209999999999,0.0,0.0
Inferior salivatory nucleus,0.0,0.0,0.0,0.0033799999999999,0.0035009999999999,0.006881,0.0,0.0
choroid plexus,0.0,0.0,0.0,0.588023,0.608107,1.19613,0.0,0.0
"Primary somatosensory area, lower limb, layer 2/3",0.0,0.0,0.0,0.309624,0.352499,0.662123,0.0,0.0
"Superior olivary complex, lateral part",0.0,0.0,0.0,0.175672,0.209731,0.385403,0.0,0.0
Trochlear nucleus,0.0,0.0,0.0,0.003984,0.0038139999999999,0.0077979999999999,0.0,0.0
optic chiasm,0.0,0.0,0.0,0.12443,0.1332549999999999,0.257685,0.0,0.0
"Periventricular hypothalamic nucleus, intermediate part",0.0,0.0,0.0,0.103851,0.106039,0.20989,0.0,0.0
"Agranular insular area, posterior part, layer 1",0.0,0.0,0.0,0.214784,0.179202,0.393986,0.0,0.0
"Superior olivary complex, periolivary region",0.0,0.0,0.0,0.2304999999999999,0.2274729999999999,0.4579729999999999,0.0,0.0
Koelliker-Fuse subnucleus,0.0,0.0,0.0,0.111925,0.1044809999999999,0.216406,0.0,0.0
optic tract,0.0,0.0,0.0,0.3078869999999999,0.353548,0.661435,0.0,0.0
"Periventricular hypothalamic nucleus, posterior part",0.0,0.0,0.0,0.036488,0.036926,0.073414,0.0,0.0
third ventricle,0.0,0.0,0.0,0.3492119999999999,0.4487029999999999,0.7979149999999999,0.0,0.0
Lateral amygdalar nucleus,0.0,0.0,0.0,0.392866,0.391546,0.784412,0.0,0.0
"Prelimbic area, layer 6b",0.0,0.0,0.0,0.0111189999999999,0.012966,0.024085,0.0,0.0
"Periventricular hypothalamic nucleus, preoptic part",0.0,0.0,0.0,0.059994,0.065236,0.12523,0.0,0.0
Intermediate reticular nucleus,0.0,0.0,0.0,1.068138,1.103226,2.171364,0.0,0.0
cerebral aqueduct,0.0,0.0,0.0,0.1131239999999999,0.13053,0.2436539999999999,0.0,0.0
"Nucleus ambiguus, ventral division",0.0,0.0,0.0,0.004775,0.006763,0.011538,0.0,0.0
fourth ventricle,0.0,0.0,0.0,0.198105,0.193356,0.391461,0.0,0.0
Pontine reticular nucleus,0.0,0.0,0.0,1.42383,1.417717,2.841547,0.0,0.0
Locus ceruleus,0.0,0.0,0.0,0.007969,0.008144,0.016113,0.0,0.0
"Gustatory areas, layer 4",0.0,0.0,0.0,0.068271,0.069321,0.137592,0.0,0.0
Paraventricular nucleus of the thalamus,0.0,0.0,0.0,0.198661,0.2157089999999999,0.41437,0.0,0.0
lateral recess,0.0,0.0,0.0,0.2030189999999999,0.2109889999999999,0.4140079999999999,0.0,0.0
posterior commissure,0.0,0.0,0.0,0.0285729999999999,0.0327369999999999,0.0613099999999999,0.0,0.0
Anterior olfactory nucleus,0.0,0.0,0.0,2.575249,2.720907,5.296156,0.0,0.0
Laterodorsal tegmental nucleus,0.0,0.0,0.0,0.111454,0.115607,0.227061,0.0,0.0
"Agranular insular area, posterior part, layer 2/3",0.0,0.0,0.0,0.409922,0.349978,0.7599,0.0,0.0
Nucleus prepositus,0.0,0.0,0.0,0.1053159999999999,0.1088649999999999,0.2141809999999999,0.0,0.0
"Prelimbic area, layer 1",0.0,0.0,0.0,0.212038,0.22541,0.437448,0.0,0.0
Retrochiasmatic area,0.0,0.0,0.0,0.085446,0.0873169999999999,0.172763,0.0,0.0
Nucleus of Roller,0.0,0.0,0.0,0.00113,0.0016929999999999,0.002823,0.0,0.0
Ventral part of the lateral geniculate complex,0.0,0.0,0.0,0.241135,0.248351,0.489486,0.0,0.0
"Gustatory areas, layer 2/3",0.0,0.0,0.0,0.179372,0.191462,0.370834,0.0,0.0
Nucleus of reuniens,0.0,0.0,0.0,0.252205,0.2462319999999999,0.498437,0.0,0.0
Lateral habenula,0.0,0.0,0.0,0.2155919999999999,0.221077,0.436669,0.0,0.0
"Gustatory areas, layer 5",0.0,0.0,0.0,0.261914,0.2515219999999999,0.513436,0.0,0.0
"Accessory olfactory bulb, glomerular layer",0.0,0.0,0.0,0.0884389999999999,0.08041,0.1688489999999999,0.0,0.0
